accession,version,pot_oriC_num,Z_score,G_score,D_score,total_pot,correct
NC_000117,1,1,0.75,0.0,0.25,2,True
NC_000117,1,2,0.25,1.0,0.75,2,False
NC_000913,3,1,1.0,0.5,1.0,1,True
NC_000962,3,1,0.75,0.9981423547052496,1.0,2,True
NC_000962,3,2,0.25,0.0018576452947502,0.0,2,False
NC_000964,3,1,1.0,0.5,1.0,1,True
NC_002696,2,1,0.75,0.879177439474076,0.0,3,True
NC_002696,2,2,0.1666666666666666,0.1348347675212475,0.0,3,False
NC_002696,2,3,0.0833333333333333,0.4885416114123599,0.0,3,False
NC_002947,4,1,0.9,0.9997407815560616,0.9666666666666668,2,True
NC_002947,4,2,0.1,0.0002592184439382,0.0333333333333333,2,False
NC_002971,4,1,0.8181818181818182,0.9992628213370364,0.4,3,False
NC_002971,4,2,0.0909090909090909,0.8176532860167494,0.5,3,True
NC_002971,4,3,0.0909090909090909,0.0007371786629636,0.1,3,False
NC_003047,1,1,0.6470588235294118,0.9822968201069292,0.3333333333333333,4,True
NC_003047,1,2,0.1764705882352941,0.6363657333350716,0.6666666666666666,4,False
NC_003047,1,3,0.1176470588235294,0.973932639260101,0.0,4,False
NC_003047,1,4,0.0588235294117647,0.0177031798930709,0.0,4,False
NC_003197,2,1,0.9,0.999678832311056,0.7777777777777778,2,True
NC_003197,2,2,0.1,0.0003211676889438,0.2222222222222222,2,False
NC_003272,1,1,0.21875,0.0002818267727071,0.0909090909090909,7,False
NC_003272,1,2,0.21875,0.1603166160716526,0.25,7,False
NC_003272,1,3,0.21875,0.4309613052677354,0.1818181818181818,7,False
NC_003272,1,4,0.15625,0.9997181732272928,0.0681818181818181,7,True
NC_003272,1,5,0.0625,0.7906318104652232,0.0909090909090909,7,False
NC_003272,1,6,0.0625,0.4838999138630339,0.2045454545454545,7,False
NC_003272,1,7,0.0625,0.6295466519481171,0.1136363636363636,7,False
NC_003869,1,1,1.0,0.5,1.0,1,True
NC_005090,1,1,1.0,0.5,1.0,1,True
NC_005363,1,1,1.0,0.5,1.0,1,True
NC_006461,1,1,0.45,0.9998418617906806,1.0,4,True
NC_006461,1,2,0.3,0.6027678241456771,0.0,4,False
NC_006461,1,3,0.15,0.7561954843141957,0.0,4,False
NC_006461,1,4,0.1,0.0008810557376365,0.0,4,False
NC_007575,1,1,0.4090909090909091,0.999355302836382,0.4,5,True
NC_007575,1,2,0.3181818181818182,0.7733668226944821,0.0666666666666666,5,False
NC_007575,1,3,0.1363636363636363,0.1882377738297675,0.2,5,False
NC_007575,1,4,0.0909090909090909,0.6187156300285189,0.1333333333333333,5,False
NC_007575,1,5,0.0454545454545454,0.000644697163618,0.2,5,False
NC_007604,1,1,0.28,0.5260079876113,0.5,6,False
NC_007604,1,2,0.28,0.5987460088538477,0.5,6,True
NC_007604,1,3,0.2,0.4233494777506424,0.0,6,False
NC_007604,1,4,0.12,0.5987460088538477,0.0,6,False
NC_007604,1,5,0.08,0.4233494777506424,0.0,6,False
NC_007604,1,6,0.04,0.4233494777506424,0.0,6,False
NC_007633,1,1,0.4444444444444444,1.0,0.3333333333333333,5,True
NC_007633,1,2,0.2777777777777778,0.0,0.3333333333333333,5,False
NC_007633,1,3,0.1111111111111111,0.399196477738969,0.0,5,False
NC_007633,1,4,0.1111111111111111,0.1579045339027965,0.0,5,False
NC_007633,1,5,0.0555555555555555,0.6771407223944343,0.3333333333333333,5,False
NC_008255,1,1,1.0,0.5,1.0,1,True
NC_009850,1,1,0.45,0.9993017878572072,0.2857142857142857,6,True
NC_009850,1,2,0.25,0.6098823633990063,0.1428571428571428,6,False
NC_009850,1,3,0.15,0.7679026037989769,0.2142857142857142,6,False
NC_009850,1,4,0.05,0.5422648327443407,0.1428571428571428,6,False
NC_009850,1,5,0.05,0.0006982121427929,0.0714285714285714,6,False
NC_009850,1,6,0.05,0.0265542843144652,0.1428571428571428,6,False
NC_010546,1,1,0.2142857142857142,0.6142994986206307,0.0526315789473684,7,False
NC_010546,1,2,0.1785714285714285,0.3626004147819954,0.2631578947368421,7,False
NC_010546,1,3,0.1785714285714285,0.6142994986206308,0.2105263157894736,7,False
