RefSeq,Organism,Lineage,DoriC_oriC_0,DoriC_oriC_1,DoriC_oriC_2,DoriC_oriC_3
NC_000908,Mycoplasma genitalium G37,"Bacteria, Firmicutes, Mollicutes, Mycoplasmataceae, Mycoplasma","(578582.0, 579223.0)",,,
NC_000919,Treponema pallidum subsp. pallidum str. Nichols,"Bacteria, Spirochaetes, Spirochaetales, Spirochaetaceae, Treponema","(1399.0, 1640.0)",,,
NC_001263,Deinococcus radiodurans R1 chromosome 1,"Bacteria, Deinococcus-Thermus, Deinococci, Deinococcales, Deinococcaceae, Deinococcus","(1183.0, 1903.0)",,,
NC_002163,Campylobacter jejuni subsp. jejuni NCTC 11168,"Bacteria, Proteobacteria, Epsilonproteobacteria, Campylobacterales, Campylobacteraceae, Campylobacter","(1324.0, 1482.0)",,,
NC_002488,Xylella fastidiosa 9a5c,"Bacteria, Proteobacteria, Gammaproteobacteria, Xanthomonadales, Xanthomonadaceae, Xylella","(1463.0, 1758.0)",,,
NC_002516,Pseudomonas aeruginosa PAO1,"Bacteria, Proteobacteria, Gammaproteobacteria, Pseudomonadales, Pseudomonadaceae, Pseudomonas","(6264361.0, 482.0)",,,
NC_002662,Lactococcus lactis subsp. lactis Il1403,"Bacteria, Firmicutes, Lactobacillales, Streptococcaceae, Lactococcus","(1726.0, 1881.0)",,,
NC_002677,Mycobacterium leprae TN,"Bacteria, Actinobacteria, Actinobacteridae, Actinomycetales, Corynebacterineae, Mycobacteriaceae, Mycobacterium","(1567.0, 2080.0)",,,
NC_002771,Mycoplasma pulmonis UAB CTIP,"Bacteria, Firmicutes, Mollicutes, Mycoplasmataceae, Mycoplasma","(1.0, 221.0)",,,
NC_002936,Dehalococcoides ethenogenes 195,"Bacteria, Chloroflexi, Dehalococcoidetes, Dehalococcoides","(1599.0, 1923.0)",,,
NC_002942,Legionella pneumophila subsp. pneumophila str. Philadelphia 1,"Bacteria, Proteobacteria, Gammaproteobacteria, Legionellales, Legionellaceae, Legionella","(3397647.0, 653.0)",,,
NC_002947,Pseudomonas putida KT2440,"Bacteria, Proteobacteria, Gammaproteobacteria, Pseudomonadales, Pseudomonadaceae, Pseudomonas","(8947.0, 9541.0)",,,
NC_003155,Streptomyces avermitilis MA-4680,"Bacteria, Actinobacteria, Actinobacteridae, Actinomycetales, Streptomycineae, Streptomycetaceae, Streptomyces","(5287934.0, 5289023.0)",,,
NC_003272,Nostoc sp. PCC 7120,"Bacteria, Cyanobacteria, Nostocales, Nostocaceae, Nostoc","(2404398.0, 2404811.0)",,,
NC_003295,Ralstonia solanacearum GMI1000,"Bacteria, Proteobacteria, Betaproteobacteria, Burkholderiales, Burkholderiaceae, Ralstonia","(3716277.0, 485.0)",,,
NC_003888,Streptomyces coelicolor A3(2),"Bacteria, Actinobacteria, Actinobacteridae, Actinomycetales, Streptomycineae, Streptomycetaceae, Streptomyces","(4269844.0, 4270777.0)",,,
